pond_id,pond_name,orbit_direction,layer,zone,observation_count,first_observation,last_observation,median_min_db,median_max_db,median_mean_db,median_std_db,median_range_db,median_range_without_common_shift_db
0,Unnamed,ASCENDING,HHHH,shoreline,7,2026-06-27,2026-09-19,-14.781916,-12.523800,-13.620977,0.726095,2.258115,2.258115
0,Unnamed,ASCENDING,HHHH,whole,7,2026-06-27,2026-09-19,-14.781916,-12.523800,-13.620977,0.726095,2.258115,2.258115
0,Unnamed,ASCENDING,HVHV,shoreline,7,2026-06-27,2026-09-19,-19.150131,-18.087422,-18.423422,0.380933,1.062709,1.062709
0,Unnamed,ASCENDING,HVHV,whole,7,2026-06-27,2026-09-19,-19.150131,-18.087422,-18.423422,0.380933,1.062709,1.062709
0,Unnamed,DESCENDING,HHHH,shoreline,6,2026-06-26,2026-09-18,-15.193386,-4.140079,-12.111639,4.085334,11.053307,3.118892
0,Unnamed,DESCENDING,HHHH,whole,6,2026-06-26,2026-09-18,-15.193386,-4.140079,-12.111639,4.085334,11.053307,3.118892
0,Unnamed,DESCENDING,HVHV,shoreline,6,2026-06-26,2026-09-18,-19.389826,-9.399770,-16.923660,3.751727,9.990056,1.731180
0,Unnamed,DESCENDING,HVHV,whole,6,2026-06-26,2026-09-18,-19.389826,-9.399770,-16.923660,3.751727,9.990056,1.731180
1,Unnamed,ASCENDING,HHHH,shoreline,7,2026-06-27,2026-09-19,-13.296025,-12.346440,-12.913887,0.309175,0.949585,0.949585
1,Unnamed,ASCENDING,HHHH,whole,7,2026-06-27,2026-09-19,-13.296025,-12.346440,-12.913887,0.309175,0.949585,0.949585
1,Unnamed,ASCENDING,HVHV,shoreline,7,2026-06-27,2026-09-19,-18.822380,-17.288704,-18.198321,0.484465,1.533676,1.533676
1,Unnamed,ASCENDING,HVHV,whole,7,2026-06-27,2026-09-19,-18.822380,-17.288704,-18.198321,0.484465,1.533676,1.533676
1,Unnamed,DESCENDING,HHHH,shoreline,6,2026-06-26,2026-09-18,-13.710947,-6.175378,-11.294974,2.791134,7.535569,3.094884
1,Unnamed,DESCENDING,HHHH,whole,6,2026-06-26,2026-09-18,-13.710947,-6.175378,-11.294974,2.791134,7.535569,3.094884
1,Unnamed,DESCENDING,HVHV,shoreline,6,2026-06-26,2026-09-18,-17.641588,-11.134359,-16.111863,2.495420,6.507229,1.267097
1,Unnamed,DESCENDING,HVHV,whole,6,2026-06-26,2026-09-18,-17.641588,-11.134359,-16.111863,2.495420,6.507229,1.267097
12,Unnamed,ASCENDING,HHHH,shoreline,7,2026-06-27,2026-09-19,-12.545628,-10.192081,-11.760881,0.767418,2.353547,2.353547
12,Unnamed,ASCENDING,HHHH,whole,7,2026-06-27,2026-09-19,-12.545628,-10.192081,-11.760881,0.767418,2.353547,2.353547
12,Unnamed,ASCENDING,HVHV,shoreline,7,2026-06-27,2026-09-19,-17.093283,-15.823385,-16.340250,0.488839,1.269898,1.269898
12,Unnamed,ASCENDING,HVHV,whole,7,2026-06-27,2026-09-19,-17.093283,-15.823385,-16.340250,0.488839,1.269898,1.269898
12,Unnamed,DESCENDING,HHHH,shoreline,6,2026-06-26,2026-09-18,-12.433761,-6.453644,-11.122907,2.315721,5.980117,0.912326
12,Unnamed,DESCENDING,HHHH,whole,6,2026-06-26,2026-09-18,-12.433761,-6.453644,-11.122907,2.315721,5.980117,0.912326
12,Unnamed,DESCENDING,HVHV,shoreline,6,2026-06-26,2026-09-18,-17.577574,-11.244376,-15.873089,2.374766,6.333198,1.844396
12,Unnamed,DESCENDING,HVHV,whole,6,2026-06-26,2026-09-18,-17.577574,-11.244376,-15.873089,2.374766,6.333198,1.844396
13,Unnamed,ASCENDING,HHHH,shoreline,7,2026-06-27,2026-09-19,-15.890593,-14.614057,-15.290797,0.422692,1.276535,1.276535
13,Unnamed,ASCENDING,HHHH,whole,7,2026-06-27,2026-09-19,-15.890593,-14.614057,-15.290797,0.422692,1.276535,1.276535
13,Unnamed,ASCENDING,HVHV,shoreline,7,2026-06-27,2026-09-19,-20.234047,-19.788471,-19.947781,0.143606,0.445576,0.445576
13,Unnamed,ASCENDING,HVHV,whole,7,2026-06-27,2026-09-19,-20.234047,-19.788471,-19.947781,0.143606,0.445576,0.445576
13,Unnamed,DESCENDING,HHHH,shoreline,6,2026-06-26,2026-09-18,-10.677349,-5.465294,-9.435540,1.998264,5.212054,1.188145
13,Unnamed,DESCENDING,HHHH,whole,6,2026-06-26,2026-09-18,-10.677349,-5.465294,-9.435540,1.998264,5.212054,1.188145
13,Unnamed,DESCENDING,HVHV,shoreline,6,2026-06-26,2026-09-18,-15.268945,-10.380619,-13.744645,1.806160,4.888326,2.014697
13,Unnamed,DESCENDING,HVHV,whole,6,2026-06-26,2026-09-18,-15.268945,-10.380619,-13.744645,1.806160,4.888326,2.014697
14,Unnamed,ASCENDING,HHHH,shoreline,7,2026-06-27,2026-09-19,-12.339408,-10.121019,-11.053234,0.785539,2.218388,2.218388
14,Unnamed,ASCENDING,HHHH,whole,7,2026-06-27,2026-09-19,-12.339408,-10.121019,-11.053234,0.785539,2.218388,2.218388
14,Unnamed,ASCENDING,HVHV,shoreline,7,2026-06-27,2026-09-19,-16.832355,-15.921290,-16.464116,0.282892,0.911065,0.911065
14,Unnamed,ASCENDING,HVHV,whole,7,2026-06-27,2026-09-19,-16.832355,-15.921290,-16.464116,0.282892,0.911065,0.911065
14,Unnamed,DESCENDING,HHHH,shoreline,6,2026-06-26,2026-09-18,-13.539930,-7.666855,-12.270256,2.291015,5.873075,1.122567
14,Unnamed,DESCENDING,HHHH,whole,6,2026-06-26,2026-09-18,-13.539930,-7.666855,-12.270256,2.291015,5.873075,1.122567
14,Unnamed,DESCENDING,HVHV,shoreline,6,2026-06-26,2026-09-18,-18.416625,-12.354517,-17.093203,2.347868,6.062108,0.861989
14,Unnamed,DESCENDING,HVHV,whole,6,2026-06-26,2026-09-18,-18.416625,-12.354517,-17.093203,2.347868,6.062108,0.861989
15,Unnamed,ASCENDING,HHHH,shoreline,7,2026-06-27,2026-09-19,-11.193306,-9.639865,-10.627320,0.519665,1.553441,1.553441
15,Unnamed,ASCENDING,HHHH,whole,7,2026-06-27,2026-09-19,-11.193306,-9.639865,-10.627320,0.519665,1.553441,1.553441
15,Unnamed,ASCENDING,HVHV,shoreline,7,2026-06-27,2026-09-19,-16.872307,-15.791438,-16.261439,0.376810,1.080869,1.080869
15,Unnamed,ASCENDING,HVHV,whole,7,2026-06-27,2026-09-19,-16.872307,-15.791438,-16.261439,0.376810,1.080869,1.080869
15,Unnamed,DESCENDING,HHHH,shoreline,6,2026-06-26,2026-09-18,-13.432541,-10.053084,-11.569652,1.125455,3.379457,2.354444
15,Unnamed,DESCENDING,HHHH,whole,6,2026-06-26,2026-09-18,-13.432541,-10.053084,-11.569652,1.125455,3.379457,2.354444
15,Unnamed,DESCENDING,HVHV,shoreline,6,2026-06-26,2026-09-18,-17.978500,-14.017233,-16.352141,1.450738,3.961266,2.392361
15,Unnamed,DESCENDING,HVHV,whole,6,2026-06-26,2026-09-18,-17.978500,-14.017233,-16.352141,1.450738,3.961266,2.392361
16,Unnamed,ASCENDING,HHHH,shoreline,7,2026-06-27,2026-09-19,-13.263326,-10.573600,-11.951586,0.873827,2.689726,2.689726
16,Unnamed,ASCENDING,HHHH,whole,7,2026-06-27,2026-09-19,-13.263326,-10.573600,-11.951586,0.873827,2.689726,2.689726
16,Unnamed,ASCENDING,HVHV,shoreline,7,2026-06-27,2026-09-19,-19.267800,-18.462057,-18.806395,0.302482,0.805743,0.805743
16,Unnamed,ASCENDING,HVHV,whole,7,2026-06-27,2026-09-19,-19.267800,-18.462057,-18.806395,0.302482,0.805743,0.805743
16,Unnamed,DESCENDING,HHHH,shoreline,6,2026-06-26,2026-09-18,-13.832253,-5.409843,-11.548105,3.064900,8.422410,1.839358
16,Unnamed,DESCENDING,HHHH,whole,6,2026-06-26,2026-09-18,-13.832253,-5.409843,-11.548105,3.064900,8.422410,1.839358
16,Unnamed,DESCENDING,HVHV,shoreline,6,2026-06-26,2026-09-18,-18.951959,-14.220282,-17.731500,1.773629,4.731677,1.043546
16,Unnamed,DESCENDING,HVHV,whole,6,2026-06-26,2026-09-18,-18.951959,-14.220282,-17.731500,1.773629,4.731677,1.043546
17,Unnamed,ASCENDING,HHHH,shoreline,7,2026-06-27,2026-09-19,-12.767832,-9.888853,-11.860686,1.011672,2.878979,2.878979
17,Unnamed,ASCENDING,HHHH,whole,7,2026-06-27,2026-09-19,-12.767832,-9.888853,-11.860686,1.011672,2.878979,2.878979
17,Unnamed,ASCENDING,HVHV,shoreline,7,2026-06-27,2026-09-19,-19.990677,-16.219490,-19.104486,1.334696,3.771187,3.771187
17,Unnamed,ASCENDING,HVHV,whole,7,2026-06-27,2026-09-19,-19.990677,-16.219490,-19.104486,1.334696,3.771187,3.771187
17,Unnamed,DESCENDING,HHHH,shoreline,6,2026-06-26,2026-09-18,-14.768110,-9.466594,-13.127278,1.955809,5.301516,2.038071
17,Unnamed,DESCENDING,HHHH,whole,6,2026-06-26,2026-09-18,-14.768110,-9.466594,-13.127278,1.955809,5.301516,2.038071
17,Unnamed,DESCENDING,HVHV,shoreline,6,2026-06-26,2026-09-18,-19.871178,-16.423253,-18.777367,1.265328,3.447925,1.532928
17,Unnamed,DESCENDING,HVHV,whole,6,2026-06-26,2026-09-18,-19.871178,-16.423253,-18.777367,1.265328,3.447925,1.532928
18,Unnamed,ASCENDING,HHHH,core,7,2026-06-27,2026-09-19,-16.255994,-14.722719,-15.719399,0.626348,1.533275,1.533275
18,Unnamed,ASCENDING,HHHH,shoreline,7,2026-06-27,2026-09-19,-15.464237,-10.976981,-13.410792,1.974844,4.487257,4.487257
18,Unnamed,ASCENDING,HHHH,whole,7,2026-06-27,2026-09-19,-15.837577,-12.987605,-14.622985,1.220484,2.849973,2.849973
