pair_id,pair_date,descending_date,ascending_date,threshold_mode,buffer_m,open_water_area_m2,uncertain_area_m2,open_water_pixels,uncertain_pixels,orbit_agreement_ratio,pair_quality_flag,seed_valid,buffer_edge_reached,uncertain_edge_reached,rain_7d_mm
2026-06-26/2026-06-27,2026-06-27,2026-06-26,2026-06-28,fixed_wet_baseline,0.000,26500.000,6300.000,265,63,0.808,ok,True,True,True,257.100
2026-06-26/2026-06-27,2026-06-27,2026-06-26,2026-06-28,fixed_wet_baseline,20.000,27600.000,8500.000,276,85,0.764,ok,True,True,True,257.100
2026-06-26/2026-06-27,2026-06-27,2026-06-26,2026-06-28,fixed_wet_baseline,50.000,27600.000,9500.000,276,95,0.744,ok,True,False,True,257.100
2026-06-26/2026-06-27,2026-06-27,2026-06-26,2026-06-28,per_scene_otsu,0.000,26500.000,6300.000,265,63,0.808,ok,True,True,True,257.100
2026-06-26/2026-06-27,2026-06-27,2026-06-26,2026-06-28,per_scene_otsu,20.000,27600.000,8500.000,276,85,0.764,ok,True,True,True,257.100
2026-06-26/2026-06-27,2026-06-27,2026-06-26,2026-06-28,per_scene_otsu,50.000,27600.000,9500.000,276,95,0.744,ok,True,False,True,257.100
2026-07-08/2026-07-09,2026-07-09,2026-07-08,2026-07-10,fixed_wet_baseline,0.000,0.000,29700.000,0,297,0.000,low_orbit_agreement,False,False,True,110.800
2026-07-08/2026-07-09,2026-07-09,2026-07-08,2026-07-10,fixed_wet_baseline,20.000,0.000,34800.000,0,348,0.000,low_orbit_agreement,False,False,True,110.800
2026-07-08/2026-07-09,2026-07-09,2026-07-08,2026-07-10,fixed_wet_baseline,50.000,0.000,39500.000,0,395,0.000,low_orbit_agreement,False,False,True,110.800
2026-07-08/2026-07-09,2026-07-09,2026-07-08,2026-07-10,per_scene_otsu,0.000,1400.000,25300.000,14,253,0.052,low_orbit_agreement,True,False,True,110.800
2026-07-08/2026-07-09,2026-07-09,2026-07-08,2026-07-10,per_scene_otsu,20.000,1400.000,32600.000,14,326,0.041,low_orbit_agreement,True,False,True,110.800
