granule_id,acquisition_id,processing_revision,concept_id,begin_time,end_time,orbit_direction,track_number,frame_number,frequency_a_polarization,frequency_a_bandwidth_mhz,frequency_b_polarization,frequency_b_bandwidth_mhz,processing_level,product_version,size_mb,download_url
NISAR_L2_PR_GCOV_024_003_D_072_4005_DHDH_A_20260626T100219_20260626T100254_P05023_N_F_J_001,NISAR_L2_PR_GCOV_024_003_D_072_4005_DHDH_A_20260626T100219_20260626T100254_P05023_N_F_J,001,G4242373334-ASF,2026-06-26T10:02:19.000000Z,2026-06-26T10:02:54.999342Z,DESCENDING,3,72,HH+HV,40,HH+HV,5,L2,1.0.11,,https://nisar.asf.earthdatacloud.nasa.gov/NISAR/NISAR_L2_GCOV_PROVISIONAL_V1/NISAR_L2_PR_GCOV_024_003_D_072_4005_DHDH_A_20260626T100219_20260626T100254_P05023_N_F_J_001/NISAR_L2_PR_GCOV_024_003_D_072_4005_DHDH_A_20260626T100219_20260626T100254_P05023_N_F_J_001.h5
NISAR_L2_PR_GCOV_024_024_A_018_4005_DHDH_A_20260627T202901_20260627T202936_P05023_N_F_J_001,NISAR_L2_PR_GCOV_024_024_A_018_4005_DHDH_A_20260627T202901_20260627T202936_P05023_N_F_J,001,G4242117561-ASF,2026-06-27T20:29:01.000000Z,2026-06-27T20:29:36.999342Z,ASCENDING,24,18,HH+HV,40,HH+HV,5,L2,1.0.11,,https://nisar.asf.earthdatacloud.nasa.gov/NISAR/NISAR_L2_GCOV_PROVISIONAL_V1/NISAR_L2_PR_GCOV_024_024_A_018_4005_DHDH_A_20260627T202901_20260627T202936_P05023_N_F_J_001/NISAR_L2_PR_GCOV_024_024_A_018_4005_DHDH_A_20260627T202901_20260627T202936_P05023_N_F_J_001.h5
NISAR_L2_PR_GCOV_025_003_D_072_4005_DHDH_A_20260708T100219_20260708T100253_P05023_N_F_J_001,NISAR_L2_PR_GCOV_025_003_D_072_4005_DHDH_A_20260708T100219_20260708T100253_P05023_N_F_J,001,G4249074832-ASF,2026-07-08T10:02:19.000000Z,2026-07-08T10:02:53.999342Z,DESCENDING,3,72,HH+HV,40,HH+HV,5,L2,1.0.11,,https://nisar.asf.earthdatacloud.nasa.gov/NISAR/NISAR_L2_GCOV_PROVISIONAL_V1/NISAR_L2_PR_GCOV_025_003_D_072_4005_DHDH_A_20260708T100219_20260708T100253_P05023_N_F_J_001/NISAR_L2_PR_GCOV_025_003_D_072_4005_DHDH_A_20260708T100219_20260708T100253_P05023_N_F_J_001.h5
NISAR_L2_PR_GCOV_025_024_A_018_4005_DHDH_A_20260709T202900_20260709T202935_P05023_N_F_J_001,NISAR_L2_PR_GCOV_025_024_A_018_4005_DHDH_A_20260709T202900_20260709T202935_P05023_N_F_J,001,G4246668859-ASF,2026-07-09T20:29:00.000000Z,2026-07-09T20:29:35.999342Z,ASCENDING,24,18,HH+HV,40,HH+HV,5,L2,1.0.11,,https://nisar.asf.earthdatacloud.nasa.gov/NISAR/NISAR_L2_GCOV_PROVISIONAL_V1/NISAR_L2_PR_GCOV_025_024_A_018_4005_DHDH_A_20260709T202900_20260709T202935_P05023_N_F_J_001/NISAR_L2_PR_GCOV_025_024_A_018_4005_DHDH_A_20260709T202900_20260709T202935_P05023_N_F_J_001.h5
NISAR_L2_PR_GCOV_026_024_A_018_4005_DHDH_A_20260721T202900_20260721T202934_P05023_N_F_J_001,NISAR_L2_PR_GCOV_026_024_A_018_4005_DHDH_A_20260721T202900_20260721T202934_P05023_N_F_J,001,G4259174927-ASF,2026-07-21T20:29:00.000000Z,2026-07-21T20:29:34.999342Z,ASCENDING,24,18,HH+HV,40,HH+HV,5,L2,1.0.11,,https://nisar.asf.earthdatacloud.nasa.gov/NISAR/NISAR_L2_GCOV_PROVISIONAL_V1/NISAR_L2_PR_GCOV_026_024_A_018_4005_DHDH_A_20260721T202900_20260721T202934_P05023_N_F_J_001/NISAR_L2_PR_GCOV_026_024_A_018_4005_DHDH_A_20260721T202900_20260721T202934_P05023_N_F_J_001.h5
NISAR_L2_PR_GCOV_028_003_D_072_4005_DHDH_A_20260813T100217_20260813T100251_P05023_N_F_J_001,NISAR_L2_PR_GCOV_028_003_D_072_4005_DHDH_A_20260813T100217_20260813T100251_P05023_N_F_J,001,G4282582475-ASF,2026-08-13T10:02:17.000000Z,2026-08-13T10:02:51.999342Z,DESCENDING,3,72,HH+HV,40,HH+HV,5,L2,1.0.11,,https://nisar.asf.earthdatacloud.nasa.gov/NISAR/NISAR_L2_GCOV_PROVISIONAL_V1/NISAR_L2_PR_GCOV_028_003_D_072_4005_DHDH_A_20260813T100217_20260813T100251_P05023_N_F_J_001/NISAR_L2_PR_GCOV_028_003_D_072_4005_DHDH_A_20260813T100217_20260813T100251_P05023_N_F_J_001.h5
NISAR_L2_PR_GCOV_028_024_A_018_4005_DHDH_A_20260814T202858_20260814T202933_P05023_N_F_J_001,NISAR_L2_PR_GCOV_028_024_A_018_4005_DHDH_A_20260814T202858_20260814T202933_P05023_N_F_J,001,G4283827795-ASF,2026-08-14T20:28:58.000000Z,2026-08-14T20:29:33.999342Z,ASCENDING,24,18,HH+HV,40,HH+HV,5,L2,1.0.11,,https://nisar.asf.earthdatacloud.nasa.gov/NISAR/NISAR_L2_GCOV_PROVISIONAL_V1/NISAR_L2_PR_GCOV_028_024_A_018_4005_DHDH_A_20260814T202858_20260814T202933_P05023_N_F_J_001/NISAR_L2_PR_GCOV_028_024_A_018_4005_DHDH_A_20260814T202858_20260814T202933_P05023_N_F_J_001.h5
NISAR_L2_PR_GCOV_029_003_D_072_4005_DHDH_A_20260825T100216_20260825T100251_P05023_N_F_J_001,NISAR_L2_PR_GCOV_029_003_D_072_4005_DHDH_A_20260825T100216_20260825T100251_P05023_N_F_J,001,G4290644016-ASF,2026-08-25T10:02:16.000000Z,2026-08-25T10:02:51.999342Z,DESCENDING,3,72,HH+HV,40,HH+HV,5,L2,1.0.11,,https://nisar.asf.earthdatacloud.nasa.gov/NISAR/NISAR_L2_GCOV_PROVISIONAL_V1/NISAR_L2_PR_GCOV_029_003_D_072_4005_DHDH_A_20260825T100216_20260825T100251_P05023_N_F_J_001/NISAR_L2_PR_GCOV_029_003_D_072_4005_DHDH_A_20260825T100216_20260825T100251_P05023_N_F_J_001.h5
NISAR_L2_PR_GCOV_029_024_A_018_4005_DHDH_A_20260826T202858_20260826T202933_P05023_N_F_J_001,NISAR_L2_PR_GCOV_029_024_A_018_4005_DHDH_A_20260826T202858_20260826T202933_P05023_N_F_J,001,G4298703750-ASF,2026-08-26T20:28:58.000000Z,2026-08-26T20:29:33.999342Z,ASCENDING,24,18,HH+HV,40,HH+HV,5,L2,1.0.11,,https://nisar.asf.earthdatacloud.nasa.gov/NISAR/NISAR_L2_GCOV_PROVISIONAL_V1/NISAR_L2_PR_GCOV_029_024_A_018_4005_DHDH_A_20260826T202858_20260826T202933_P05023_N_F_J_001/NISAR_L2_PR_GCOV_029_024_A_018_4005_DHDH_A_20260826T202858_20260826T202933_P05023_N_F_J_001.h5
NISAR_L2_PR_GCOV_030_003_D_072_4005_DHDH_A_20260906T100216_20260906T100251_P05023_N_F_J_002,NISAR_L2_PR_GCOV_030_003_D_072_4005_DHDH_A_20260906T100216_20260906T100251_P05023_N_F_J,002,G4308867271-ASF,2026-09-06T10:02:16.000000Z,2026-09-06T10:02:51.999342Z,DESCENDING,3,72,HH+HV,40,HH+HV,5,L2,1.0.11,,https://nisar.asf.earthdatacloud.nasa.gov/NISAR/NISAR_L2_GCOV_PROVISIONAL_V1/NISAR_L2_PR_GCOV_030_003_D_072_4005_DHDH_A_20260906T100216_20260906T100251_P05023_N_F_J_002/NISAR_L2_PR_GCOV_030_003_D_072_4005_DHDH_A_20260906T100216_20260906T100251_P05023_N_F_J_002.h5
