simple_id,tiiki,ooaza,name,area_m2,area_ha,latitude,longitude
0,杵築,八坂,野狐谷溜池,22535,2.25,33.41692889,131.5639855
1,杵築,八坂,申川溜池,20593,2.06,33.42362229,131.5643227
2,杵築,馬場尾,白水池,48375,4.84,33.42415495,131.5989725
3,山香,下,床並溜池,16472,1.65,33.48459942,131.5025523
12,大田,白木原,大河内溜池南方の池,9222,0.92,33.52844542,131.5826622
13,大田,白木原,大河内溜池,26433,2.64,33.53386571,131.5822369
14,大田,永松,黄午渕溜池,8870,0.89,33.52971443,131.5761077
15,大田,俣水,俣水1012付近の池,16106,1.61,33.5024654,131.5938885
16,杵築,南杵築,東下司溜池,6533,0.65,33.41361616,131.6106135
17,杵築,南杵築,西下司溜池,12955,1.3,33.41311675,131.6077641
18,山香,日指,日指ダム,394242,39.42,33.43432442,131.4348319
19,山香,日指,日指ダム,125737,12.57,33.42918926,131.4348028
20,山香,吉野渡,楠溜池,71083,7.11,33.44979023,131.4522682
21,杵築,溝井,石山ダム,107330,10.73,33.4443845,131.5803576
22,杵築,守江,尾払溜池,70674,7.07,33.43853846,131.6818898
23,杵築,守江,鍋倉ダム,94186,9.42,33.43218167,131.6695906
24,杵築,日野,糠味噌溜池,16947,1.69,33.39848373,131.5857026
25,杵築,溝井,弁天池,43190,4.32,33.4288608,131.5902592
26,杵築,鴨川,山迫溜池,20773,2.08,33.42945044,131.6033781
27,杵築,猪尾,スネコスリ溜池,55427,5.54,33.39916248,131.6090348
28,杵築,溝井,中ノ池溜池,9096,0.91,33.42906742,131.5809518
29,杵築,溝井,立尻溜池,16051,1.61,33.43114044,131.5820209
30,杵築,本庄,本庄新池,35268,3.53,33.42353102,131.5922641
31,杵築,本庄,双子溜池,26972,2.7,33.42183177,131.5876151
32,杵築,本庄,大台溜池,52227,5.22,33.42100152,131.582304
33,杵築,熊野,夫婦池南部,14312,1.43,33.39701502,131.6301701
34,杵築,熊野,夫婦池北部,24407,2.44,33.39885806,131.6296787
35,杵築,日野,新宮溜池,38148,3.81,33.39083104,131.6048689
43,杵築,船部,轟溜池,20388,2.04,33.44592542,131.5961092
48,杵築,八坂,申川溜池北方の池,4943,0.49,33.4281677,131.5638468
